site,treat,ID,year,cover
1,exclosure,1,2001,13.02222222
1,exclosure,2,2001,31.77777778
1,exclosure,3,2001,42.55555556
1,exclosure,4,2001,34.66666667
1,control,5,2001,2.455555556
1,control,6,2001,16.12222222
1,control,7,2001,21
1,control,8,2001,17.24444444
2,exclosure,13,2001,0
2,exclosure,14,2001,0
2,exclosure,15,2001,0.444444444
2,exclosure,16,2001,5.566666667
2,control,17,2001,0.222222222
2,control,18,2001,4.233333333
2,control,19,2001,0
2,control,20,2001,0.111111111
3,exclosure,25,2001,35.11111111
3,exclosure,26,2001,57.33333333
3,exclosure,27,2001,76.23333333
3,exclosure,28,2001,69.27777778
3,control,29,2001,10.88888889
3,control,30,2001,70.44444444
3,control,31,2001,48.04444444
3,control,32,2001,54.22222222
4,exclosure,37,2001,14.88888889
4,exclosure,38,2001,17.44444444
4,exclosure,39,2001,24
4,exclosure,40,2001,17.11111111
4,control,41,2001,1.666666667
4,control,42,2001,20.44444444
4,control,43,2001,46
4,control,44,2001,11.55555556
5,exclosure,49,2001,80.77777778
5,exclosure,50,2001,81.77777778
5,exclosure,51,2001,82.88888889
5,exclosure,52,2001,48.88888889
5,control,53,2001,78.55555556
5,control,54,2001,84.66666667
5,control,55,2001,44.88888889
5,control,56,2001,30.55555556
6,exclosure,61,2001,0.511111111
6,exclosure,62,2001,0
6,exclosure,63,2001,0
6,exclosure,64,2001,29.77777778
6,control,65,2001,0
6,control,66,2001,1.444444444
6,control,67,2001,0.788888889
6,control,68,2001,36.11111111
1,exclosure,1,2002,25.22222222
1,exclosure,2,2002,63.55555556
1,exclosure,3,2002,90.88888889
1,exclosure,4,2002,76.66666667
1,control,5,2002,25.22222222
1,control,6,2002,24.11111111
1,control,7,2002,73.55555556
1,control,8,2002,19.46666667
2,exclosure,13,2002,0
2,exclosure,14,2002,0
2,exclosure,15,2002,2.222222222
2,exclosure,16,2002,15.44444444
2,control,17,2002,0.777777778
2,control,18,2002,11.66666667
2,control,19,2002,2.344444444
2,control,20,2002,2.777777778
3,exclosure,25,2002,44.9
3,exclosure,26,2002,60
3,exclosure,27,2002,87
3,exclosure,28,2002,94.44444444
3,control,29,2002,12.61111111
3,control,30,2002,48.22222222
3,control,31,2002,40.22222222
3,control,32,2002,41.66666667
4,exclosure,37,2002,32.44444444
4,exclosure,38,2002,34.44444444
4,exclosure,39,2002,21.77777778
4,exclosure,40,2002,18
4,control,41,2002,8.777777778
4,control,42,2002,19.11111111
4,control,43,2002,30.11111111
4,control,44,2002,9.677777778
5,exclosure,49,2002,117.2222222
5,exclosure,50,2002,113.4444444
5,exclosure,51,2002,133.5555556
5,exclosure,52,2002,62.33333333
5,control,53,2002,25.44444444
5,control,54,2002,27.33333333
5,control,55,2002,26.11111111
5,control,56,2002,17
6,exclosure,61,2002,3.777777778
6,exclosure,62,2002,0
6,exclosure,63,2002,8.666666667
6,exclosure,64,2002,45
6,control,65,2002,0.111111111
6,control,66,2002,9.666666667
6,control,67,2002,9.666666667
6,control,68,2002,40.66666667
1,exclosure,1,2003,40.66666667
1,exclosure,2,2003,77.44444444
1,exclosure,3,2003,120
1,exclosure,4,2003,80.22222222
1,control,5,2003,10.55555556
1,control,6,2003,25.66666667
1,control,7,2003,138
1,control,8,2003,24.88888889
2,exclosure,13,2003,0
2,exclosure,14,2003,0.111111111
2,exclosure,15,2003,4.444444444
2,exclosure,16,2003,45.44444444
2,control,17,2003,0.444444444
2,control,18,2003,11.55555556
2,control,19,2003,0.233333333
2,control,20,2003,3.888888889
3,exclosure,25,2003,81.44444444
3,exclosure,26,2003,123.7777778
3,exclosure,27,2003,138.8888889
3,exclosure,28,2003,135
3,control,29,2003,25.22222222
3,control,30,2003,108.3333333
3,control,31,2003,128.3333333
3,control,32,2003,102.7777778
4,exclosure,37,2003,58.33333333
4,exclosure,38,2003,75
4,exclosure,39,2003,31.22222222
4,exclosure,40,2003,26.22222222
4,control,41,2003,4.555555556
4,control,42,2003,20.55555556
4,control,43,2003,49.22222222
4,control,44,2003,14.88888889
5,exclosure,49,2003,112.4444444
5,exclosure,50,2003,128.1111111
5,exclosure,51,2003,132.8888889
5,exclosure,52,2003,96.55555556
5,control,53,2003,59.77777778
5,control,54,2003,62.77777778
5,control,55,2003,49.33333333
5,control,56,2003,58.44444444
6,exclosure,61,2003,15.22222222
6,exclosure,62,2003,0
6,exclosure,63,2003,34.55555556
6,exclosure,64,2003,66.66666667
6,control,65,2003,0.555555556
6,control,66,2003,7.555555556
6,control,67,2003,8.666666667
6,control,68,2003,53.66666667
1,exclosure,1,2004,55
1,exclosure,2,2004,80.88888889
1,exclosure,3,2004,135.4444444
1,exclosure,4,2004,84
1,control,5,2004,11.77777778
1,control,6,2004,25.12222222
1,control,7,2004,140
1,control,8,2004,13.77777778
2,exclosure,13,2004,0
2,exclosure,14,2004,0
2,exclosure,15,2004,5.011111111
2,exclosure,16,2004,28
2,control,17,2004,0.222222222
2,control,18,2004,6.888888889
2,control,19,2004,0
2,control,20,2004,0.666666667
3,exclosure,25,2004,72.33333333
3,exclosure,26,2004,115
3,exclosure,27,2004,146.7777778
3,exclosure,28,2004,170
3,control,29,2004,15.22222222
3,control,30,2004,115
3,control,31,2004,154.4555556
3,control,32,2004,120
4,exclosure,37,2004,63.11111111
4,exclosure,38,2004,83.66666667
4,exclosure,39,2004,37.55555556
